id,comment,territory
1,"As escadarias e vielas da comunidade tão caindo aos pedaços de tão velhas. Os degraus tão todos quebrados e não tem um corrimão sequer, o que é um perigo imenso em dia de chuva. meu marido voltando do trabalho escorregou e machucou o braço ontem de noite subindo na escadaria principal da comunidade,. Precisamos de reformas urgentes. E pra piorar tudo, as calçadas tão todas quebradas, um perigo de queda pros idosos.",comunidade
2,"O canal de atendimento 1746 virou uma piada de mau gosto e ineficiente. A gente abre protocolo sobre os problemas crônicos de conservação perto de nos arredores da Praça Santos Dumont, no Baixo Gávea,, eles deixam vencer o prazo e fecham o chamado como se estivesse resolvido sem fazer nada. meu filho adolescente se sente feito de palhaço pela gestão.",asfalto
3,"Um absurdo completo o atendimento de saúde pública na nossa zona. na última terça-feira, minha mãe idosa passou muito mal com febre alta e ficamos horas esperando atendimento médico no posto da Gávea. Os profissionais trabalham sobrecarregados e faltam insumos básicos. A prefeitura precisa investir sério.",alto da gávea
4,"A especulação imobiliária tá destruindo a identidade do bairro residencial. Estão derrubando casas históricas perto de no trecho mais alto e escuro da via, pra construir prédios enormes de luxo. uma senhora de idade que mora aqui perto acha um absurdo essa verticalização sem planejamento, que sobrecarrega o esgoto, a água e o trânsito local. E a iluminação dos postes sumiu nessa parte, virando um breu danado propício pra assaltos.",alto da gávea
5,"O risco de deslizamento de barreira tira o sono de qualquer morador. Toda vez que começa a chover forte, um rapaz que estuda na PUC fica acordado a noite toda vigiando a encosta perto de na localidade conhecida como Grota,. A Geo-Rio precisa fazer uma obra de contenção de encostas urgente ali antes que aconteça uma tragédia.",favela
6,"A insegurança aqui tá um absurdo total. Ninguém consegue mais andar tranquilo na Rua Vice-Governador Rubens Berardo, depois das sete da noite porque o policiamento preventivo sumiu. um morador antigo aqui do beco já cansou de ver assalto perto dos prédios. Precisamos de patrulhamento urgente e iluminação de verdade pra afastar esses criminosos.",asfalto
7,"Falta iluminação nos becos mais internos da comunidade. Caminhar por aqui de noite é um desafio de sobrevivência porque tá tudo no escuro completo. perto do ponto final das vans lá em cima,, os moradores vivem com medo de assalto e queda. minha irmã com o carrinho de bebê comprou lâmpada do próprio bolso pra colocar no beco. Desse jeito o posto de saúde vai continuar lotado de gente doente com infecção.",favela
8,"A gente vive no meio do fogo cruzado e ninguém faz nada por nós. já faz uns três dias teve tiroteio perto do CIEP e eu mesmo com pressa pro serviço teve que correr pra se proteger dentro do beco. As crianças ficam traumatizadas e perdem aula direta. Segurança pra nós da comunidade é artigo de luxo pelo visto.",comunidade
9,"É uma pouca vergonha o estado das galerias de esgoto aqui. logo cedo na segunda-feira a tubulação começou a vazar bem nos arredores da Praça Santos Dumont, no Baixo Gávea, e o mau cheiro tá insuportável na rua inteira. um grupo de estudantes daqui já ligou pro 1746 reclamando, mas ninguém aparece. Descaso total da prefeitura com o IPTU caro que a gente paga.",asfalto
10,"Toda vez que cai uma chuva mais forte, as ruas da Gávea alagam por causa dos bueiros entupidos. no final da tarde de quinta, a água da chuva acumulou tanto em frente ao Shopping da Gávea, que cobriu as calçadas e quase invadiu os comércios. minha filha mais nova teve o carro danificado. A Comlurb precisa limpar essas bocas de lobo urgente. Fora o transporte público que demora horas pra passar e nos deixa mofando no ponto com medo.",asfalto
